Titulo,Estreno,Duracion,Ventas,Genero
Dear Heart,4/14/2023,83,2170,Comedia 
Dear Mr. Watterson,2/23/2019,161,4279,Documental
Death in the Garden ,11/27/2018,134,8145,Aventura
Death Note,12/16/2018,134,4150,Crimen
Death Note 2: The Last Name,06/11/2023,128,5952,Crimen
Death of a Bureaucrat ,4/27/2022,69,5779,Comedia 
Death Rides a Horse ,2/13/2020,140,9806,Western
Death to Smoochy,6/19/2020,62,1653,Comedia 
December 7th,03/06/2022,84,7056,Documental
Dedication,03/12/2022,181,2179,Comedia 
Deep in the Woods ,02/07/2021,248,11,Terror
Deliver Us from Evil,09/03/2020,144,8047,Terror
Delta Farce,12/14/2019,119,3113,Comedia 
Delusion,7/16/2019,183,5703,Terror
Demonio negro,11/29/2021,68,1875,Comedia 
Derailed,1/20/2019,106,7279,Terror
Desert Flower,05/08/2022,68,6723,Documental
Detention,10/18/2018,123,2614,Comedia 
Devils Nightmare,3/24/2019,182,6214,Terror
Devils Rock,2/24/2021,197,5640,Terror
Devour,5/14/2021,189,3714,Terror
Dialogues with Solzhenitsyn ,4/30/2019,126,8881,Documental
Diana Vreeland: The Eye Has to Travel,11/19/2020,117,2193,Documental
Diario de una princesa,12/30/2022,95,961,Comedia 
Diary of a Mad Housewife,1/22/2022,177,7605,Comedia 
Diary of a Madman,5/15/2019,161,986,Terror
Diary of the Dead,6/18/2021,76,9574,Terror
Die Feuerzangenbowle,05/01/2021,117,6321,Comedia 
Die Nibelungen: Kriemhild's Revenge,01/01/2022,74,5701,Aventura
Die Nibelungen: Siegfried,12/23/2021,167,7670,Aventura
Die! Die! My Darling! ,12/19/2022,204,8711,Crimen
"Die, Mommie, Die",10/25/2021,189,9284,Comedia 
Dikkenek,01/06/2020,102,9179,Comedia 
Dillinger,02/11/2021,184,4927,Crimen
Dish,7/23/2023,163,6038,Comedia 
Disneyland Dream,09/06/2021,175,2624,Documental
Divided We Fall ,7/16/2019,188,1427,Comedia 
Divorce - Italian Style ,2/21/2023,137,2162,Comedia 
Django 2: Django Strikes Again,2/14/2021,67,2254,Western
DMT: The Spirit Molecule,08/06/2022,110,4023,Documental
Doctor and the Devils,1/26/2020,127,9077,Terror
Doctor Detroit,3/31/2022,204,6452,Comedia 
Dog Day Afternoon,04/12/2020,190,951,Crimen
Dogma,10/31/2019,123,3006,Comedia 
Dolls,4/24/2020,150,1959,Terror
Dominion: Prequel to the Exorcist,3/13/2019,147,1361,Terror
Donkey Xote,11/23/2020,203,5568,Aventura
Donnie Brasco,07/03/2019,100,8355,Crimen
Don't Be Afraid of the Dark,3/30/2020,95,3621,Terror
Don't Drink the Water,11/20/2018,187,7668,Comedia 
Don't Eat the Pictures: Sesame Street at the Metropolitan Museum of Art,8/26/2023,162,3509,Documental
Don't Go Near the Water,10/11/2021,126,3702,Comedia 
Don't Make Waves,8/26/2022,63,6668,Comedia 
Don't Tell Mom the Babysitter's Dead,7/14/2021,194,8030,Comedia 
Doogal,6/26/2022,89,5761,Aventura
Dora y la Ciudad Perdida,09/11/2018,209,50,Aventura
Dorian Gray,3/24/2020,95,2422,Fantasia
Double Take,07/11/2021,81,9490,Crimen
Downloading Nancy,11/04/2020,111,4124,Terror
Dr. Dolittle 2,04/12/2019,68,8189,Comedia 
Dr. Goldfoot and the Girl Bombs,05/01/2019,197,7797,Comedia 
Dr. Otto and the Riddle of the Gloom Beam,2/14/2021,171,6109,Comedia 
Dracula's Daughter,7/14/2022,183,8463,Terror
Dragon,11/09/2018,110,1577,Fantasia
Dragon Hunter,8/17/2023,66,1592,Fantasia
Dragonheart,3/17/2022,127,1788,Aventura
Dragonslayer,3/21/2020,89,1377,Aventura
Dream Home,8/29/2020,139,5438,Terror
Drones,02/02/2023,79,5136,Terror
Drugstore Cowboy,01/03/2020,136,5562,Crimen
Drumline,8/18/2019,183,555,Comedia 
Duel at Silver Creek,8/14/2022,165,8443,Western
Dulce familia,04/05/2020,127,9163,Comedia 
Duma,10/18/2019,178,5582,Aventura
Dupes,5/18/2019,83,7955,Crimen
Duplex,10/15/2020,60,3758,Comedia 
Duplicity,1/20/2023,183,2615,Crimen
Dust to Glory,12/10/2022,134,3832,Documental
Dying at Grace,4/21/2022,178,1304,Documental
Dying Breed,9/26/2022,95,3230,Terror
Dylan Moran Live: What It Is,9/16/2019,85,3301,Comedia 
"Dylan Moran: Like, Totally",09/03/2019,181,7871,Comedia 
Dylan Moran: Monster,9/24/2020,95,78,Comedia 
Dynamite Girl ,12/25/2020,181,6900,Comedia 
Each Dawn I Die,10/04/2021,95,2798,Crimen
Eagle vs Shark,07/11/2019,95,7892,Comedia 
Earth Girls Are Easy,07/05/2023,117,8018,Comedia 
Earth vs. the Spider,10/01/2018,69,8164,Terror
East Side Story,9/19/2022,181,8271,Comedia 
Easy Riders ,8/20/2021,118,657,Documental
Easy Riders Raging Bulls,10/19/2018,181,5287,Documental
Eat Drink Man Woman ,5/17/2019,88,2459,Comedia 
Eaten Alive,06/12/2021,71,4809,Terror
Ed,01/07/2021,89,3998,Comedia 
Ed Hardy: Tattoo the World ,8/16/2019,65,4775,Documental
Eddie Izzard: Circle,10/09/2018,173,7262,Comedia 
Eddie Izzard: Dress to Kill,1/20/2020,181,7699,Comedia 
Eddie Murphy Delirious,7/31/2023,178,7330,Comedia 
Eggs,01/11/2019,95,7945,Comedia 
Ego,05/11/2023,125,1543,Comedia 
Eight Days a Week,11/10/2019,152,710,Documental
El chocolate del loro,05/08/2021,173,5880,Comedia 
El ciudadano ilustre,08/01/2016,204,8446,Comedia 
El clon de Tyrone,9/27/2023,106,9944,Comedia 
El club de los lectores criminales,2/17/2022,129,7185,Comedia 
El diablo a todas horas,10/30/2019,80,4889,Crimen
El diablo viste a la moda,8/16/2019,86,4214,Comedia 
El discreto encanto de la Burguesia,4/27/1972,95,6688,Comedia 
El estado de Alabama vs Brittany Smith,12/27/2018,89,7882,Crimen
El estafador de Tinder,11/11/2020,143,8783,Comedia 
El extraño,3/29/2022,112,8547,Terror
El gran hotel Budapest,6/13/2014,134,520,Aventura
El gran Lebowski,11/10/1998,60,537,Comedia 
El guateque,05/03/1968,95,9291,Comedia 
El Hijo de la Novia,5/22/2023,130,9764,Comedia 
El Jovencito Frankenstein,12/03/1974,181,659,Comedia 
El maquinista de la general,09/09/1926,181,2316,Comedia 
El mundo de la posverdad,02/09/2021,124,3570,Documental
El Narco,7/30/2023,66,7209,Documental
El otro lado de la cama,07/04/2023,105,7900,Comedia 
El Padrecito,05/05/2021,142,7526,Comedia 
El paquete,01/03/2018,115,4937,Comedia 
El profesor,2/26/2022,181,6442,Comedia 
El suplente,6/26/2020,65,7315,Comedia 
El viaje increible,4/19/2019,100,695,Aventura
Elaine Stritch: Shoot Me,01/01/2021,85,4626,Documental
Electile Dysfunction,8/13/2023,111,3815,Documental
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",11/30/2019,178,5085,Documental
Elektra Luxx,3/25/2021,147,297,Comedia 
Elemental,4/16/2023,183,4832,Documental
Elf,10/28/2021,108,5292,Comedia 
Elfie Hopkins: Cannibal Hunter,10/17/2019,181,7168,Comedia 
Elvis: That's the Way It Is,8/28/2022,117,6723,Documental
Embrace of the Vampire,12/23/2020,134,2465,Fantasia
Emma,06/07/2022,157,5095,Comedia 
Emo Philips Live,07/05/2019,87,430,Comedia 
En la Toscana,3/20/2022,122,2266,Comedia 
Encounter in the Third Dimension,9/30/2020,118,8948,Documental
Encounters at the End of the World,10/05/2020,95,882,Documental
Endgame: Blueprint for Global Enslavement,04/10/2020,92,6734,Documental
Endless Summer,08/01/2019,88,7031,Documental
Endless Summer 2,10/15/2019,152,181,Documental
Enemies of Reason,7/13/2021,65,3213,Documental
Engaño a la vuelta de la esquina,8/30/2022,140,5001,Comedia 
English Vinglish,10/17/2020,60,5484,Comedia 
Englishman Who Went Up a Hill But Came Down a Mountain,6/29/2023,156,6152,Comedia 
Enmascarado,5/19/2019,65,3033,Documental
Enron: The Smartest Guys in the Room,01/11/2023,181,6899,Documental
Entity,4/27/2020,191,9030,Terror
Envy,01/11/2020,181,7547,Comedia 
Episode 3: Enjoy Poverty,12/21/2019,167,6586,Documental
Eragon,10/31/2018,102,1016,Aventura
Erase una vez ,1/15/2023,79,2015,Comedia 
Ernest Goes to Africa,8/17/2022,69,2027,Comedia 
Ernest Goes to School,3/29/2020,185,2614,Comedia 
Escape from Fort Bravo,10/13/2018,102,7855,Western
Escape from Suburbia: Beyond the American Dream,08/02/2019,181,6792,Documental
Ese es mi hijo,11/14/2021,89,1199,Comedia 
Etoiles: Dancers of the Paris Opera Ballet ,4/27/2020,122,5730,Documental
Evan Almighty,1/20/2021,116,9470,Comedia 
Everything,12/01/2021,117,4295,Comedia 
Everything about Mustafa,12/10/2022,198,4499,Documental
Evidence,3/16/2023,184,6093,Crimen
Evil dead: El despertar,05/01/2020,79,1929,Terror
Excalibur,11/06/2018,163,5605,Aventura
Exists,5/29/2022,134,1154,Aventura
Exit to Eden,12/20/2022,157,7165,Comedia 
Exorcist II: The Heretic,12/27/2020,95,7265,Terror
Exposed,11/02/2022,105,9973,Crimen
Extreme Movie,08/10/2021,175,8765,Comedia 
Eye,05/06/2022,198,8503,Horror
Facing Ali,01/07/2023,102,1684,Documental
Fahrenhype 9/11,12/12/2020,62,5002,Documental
Falling Down,2/22/2022,95,6432,Crimen
Familia,5/20/2021,187,2139,Comedia 
Family Jewels,09/12/2018,92,5972,Comedia 
Family Thing,12/20/2021,143,3062,Comedia 
Family United ,03/04/2019,181,2496,Comedia 
Fanfan la Tulipe ,11/27/2020,139,6773,Aventura
Fantastic Fear of Everything,7/29/2021,81,9181,Comedia 
Fast Food Nation,3/30/2021,201,1514,Comedia 
Fast Lane,11/12/2020,193,8555,Crimen
Fatty and Mabel Adrift,2/21/2022,97,2192,Comedia 
Fatty Drives the Bus,11/10/2019,134,2378,Comedia 
Favela Rising,11/16/2018,167,4312,Documental
Fear City,8/22/2021,73,2363,Crimen
Feast at Midnight,5/22/2023,68,90,Comedia 
Feds,11/17/2020,95,7118,Comedia 
Feeding Frenzy,04/12/2020,157,2137,Terror
Ferocious,4/30/2020,89,6344,Crimen
Fetching Cody,10/27/2021,97,5804,Comedia 
Fetishes,1/30/2020,157,9301,Documental
Fever,5/29/2020,147,123,Crimen
Few Best Men,2/14/2022,139,6647,Comedia 
Fierce Light: When Spirit Meets Action,11/24/2022,191,8484,Documental
Fight for Your Right Revisited,08/08/2020,79,8812,Comedia 
Fightville,11/01/2020,184,1348,Documental
Filming 'Othello',7/29/2023,122,3624,Documental
Filthy Gorgeous: The Bob Guccione Story,9/23/2018,84,9985,Documental
Final del camino,03/03/2020,68,2033,Comedia 
Final Destination 2,09/04/2020,184,9665,Terror
"Fine, Totally Fine",3/17/2021,89,2460,Comedia 
Fingers,9/27/2021,179,7350,Crimen
Firecreek,06/06/2020,102,4805,Western
Fired Up,10/16/2019,67,7405,Comedia 
Firehouse Dog,11/03/2019,70,6409,Comedia 
Fiston,11/06/2022,134,5465,Comedia 
Five Minutes to Live,04/01/2019,134,3646,Crimen
Five Wives Three Secretaries and Me,10/12/2020,72,8562,Comedia 
Flamenco ,09/12/2018,95,4339,Documental
Flesh,11/01/2019,68,8575,Crimen
Flicker ,06/03/2023,177,2121,Documental
Flickering Lights ,3/26/2020,117,2493,Comedia 
Flim-Flam Man,05/04/2020,135,1949,Comedia 
Flipped,12/29/2022,89,5218,Comedia 
Flying Down to Rio,5/26/2020,157,4817,Comedia 
Flypaper,3/13/2019,158,8745,Comedia 
Focus,7/17/2020,125,5988,Comedia 
Folies Bergere de Paris,02/04/2020,128,1831,Comedia 
Follow Me Quietly,1/29/2019,196,4693,Crimen
Follow That Dream,12/23/2019,95,7985,Comedia 
Follow the Bitch,10/08/2022,95,6130,Comedia 
Follow the Fleet,12/07/2019,102,2351,Comedia 
Foolproof,05/10/2020,90,6635,Comedia 
Fools Rush In,10/30/2021,127,9264,Comedia 
Footlight Parade,7/19/2020,97,8599,Comedia 
For All Mankind,6/15/2020,79,1596,Documental
For Ever Mozart,02/10/2021,157,9758,Comedia 
For Keeps,2/15/2023,100,5528,Comedia 
For Love or Money,5/29/2022,190,6033,Comedia 
For Roseanna,04/11/2023,137,721,Comedia 
For the Love of Benji,10/29/2020,248,3354,Aventura
For Whom the Bell Tolls,07/08/2020,78,4323,Aventura
Forbidden Zone,05/10/2022,68,5969,Comedia 
Forever Fever,9/16/2020,118,149,Comedia 
Forget Paris,9/25/2018,209,8883,Comedia 
Forgotten One,12/17/2018,187,6079,Terror
Fort Apache,5/22/2023,74,9440,Western
Foster Brothers,1/26/2019,181,1020,Comedia 
Foul Play,07/01/2020,149,4812,Comedia 
Four Christmases,02/06/2023,95,2815,Comedia 
Four Heads Are Better Than One,1/29/2023,95,8528,Comedia 
Four Horsemen,9/24/2021,177,7492,Documental
Four Seasons ,8/28/2020,149,8635,Comedia 
Four Weddings and a Funeral,8/16/2021,121,2411,Comedia 
Frankenhooker,10/21/2018,184,5133,Comedia 
Freeloaders,11/04/2019,134,7489,Comedia 
French Film,8/30/2019,173,5091,Comedia 
French Fried Vacation 2 ,11/01/2019,117,4431,Comedia 
French Twist ,03/09/2022,60,6496,Comedia 
Frenchmen ,9/29/2020,138,7588,Comedia 
Frenzy,11/08/2021,131,8511,Crimen
Friday the 13th,1/25/2023,163,5798,Terror
Friday the 13th Part V: A New Beginning,03/01/2023,85,5400,Terror
Friday the 13th Part VI: Jason Lives,7/25/2022,181,9338,Terror
Friend of the Deceased,07/12/2020,81,1679,Comedia 
Friends with Kids,07/04/2019,68,3502,Comedia 
From the Hip,12/10/2020,170,1200,Comedia 
From Time to Time,03/10/2021,95,4719,Aventura
Frontrunners,7/13/2019,63,1139,Documental
Fuck,11/23/2020,184,5625,Documental
Fuel,3/16/2021,181,6916,Documental
Full Tilt Boogie,8/17/2022,206,9548,Documental
Fun,8/30/2023,134,4606,Crimen
Fun in Acapulco,4/14/2019,100,5270,Comedia 
Fun with Dick and Jane,4/27/2022,159,2829,Comedia 
Funhouse,7/23/2020,117,1889,Terror
Furry Vengeance,10/06/2022,121,3248,Aventura
Future by Design,6/29/2019,137,5777,Documental
G.B.F.,7/16/2022,134,952,Comedia 
Gamera vs. Barugon,10/08/2019,107,9440,Crimen
Gangsters,12/09/2019,181,2242,Crimen
"Gas, Inspector Palmu! ",6/20/2022,122,9065,Comedia 
Gaslight,06/07/2020,89,1370,Crimen
Gate of Flesh ,04/01/2019,183,5961,Crimen
Gendernauts,6/15/2022,137,5467,Documental
Gentlemen Broncos,6/16/2019,157,8399,Fantasia
Gentlemen Prefer Blondes,09/06/2018,95,5967,Comedia 
George Carlin: Life Is Worth Losing,10/04/2022,117,4114,Comedia 
George Washington Slept Here,6/15/2022,184,2137,Comedia 
Georgia Rule,5/15/2020,79,5727,Comedia 
Geronimo,11/03/2022,207,9596,Aventura
Get Out of My Room,8/20/2021,79,6845,Comedia 
Get Rich or Die Tryin',1/19/2019,153,9553,Crimen
Get Shorty,05/08/2020,65,7844,Comedia 
Get Yourself a College Girl,1/14/2021,176,115,Comedia 
Getting Any?,07/10/2022,89,8659,Comedia 
Ghetto ,10/27/2021,192,5493,Crimen
Ghost Town,12/25/2019,95,8318,Comedia 
Ghosted,1/22/2022,169,3976,Comedia 
Ghoul,5/26/2021,117,1068,Terror
Ghoulies II,3/27/2020,86,7257,Comedia 
Ghoulies IV,05/09/2019,89,5260,Comedia 
,04/08/2020,129,4192,Comedia 
Giants and Toys ,9/20/2018,78,9888,Comedia 
Gigot,05/07/2023,82,9151,Comedia 
Gilgamesh,11/25/2023,197,5863,Aventura
Gimme Shelter,07/03/2020,172,5335,Documental
Giorgino,10/18/2018,111,7944,Aventura
Girl Crazy,4/24/2022,118,6318,Comedia 
Girl Model,1/22/2020,60,6964,Documental
Girl Play,01/04/2022,190,8248,Comedia 
Girl Said No,11/02/2021,181,6781,Comedia 
Girls Just Want to Have Fun,02/02/2021,147,2323,Comedia 
Giuseppe Makes a Movie,5/22/2023,122,3216,Documental
Glass Onion: Un misterio de Knives Out,11/29/2021,117,2240,Documental
Glenn Killing Berns,05/01/2021,174,4201,Comedia 
Glorious Technicolor,07/01/2020,129,9523,Documental
Glory Daze,6/28/2020,184,7112,Comedia 
Go Fish,7/23/2021,88,1026,Comedia 
Go Tigers!,11/06/2020,142,8517,Documental
God Grew Tired of Us,12/09/2020,67,8894,Documental
God Is Brazilian ,10/08/2022,128,3147,Comedia 
God Said Ha!,1/13/2019,152,5809,Comedia 
Gods Must Be Crazy,11/07/2021,188,3496,Aventura
Godson,02/04/2021,181,8189,Comedia 
Godzilla: The Legend Is Reborn ,04/02/2019,181,3609,Aventura
Going in Style,7/17/2021,81,8391,Comedia 
Going My Way,05/07/2021,181,1780,Comedia 
Going Overboard,3/18/2019,79,9611,Comedia 
Gone Fishin',04/03/2022,116,8664,Comedia 
Good Burger,9/21/2019,183,8045,Comedia 
Good News,8/16/2019,166,1851,Comedia 
Good Old Daze ,01/04/2023,98,2178,Documental
Good Time Max,11/04/2019,158,2012,Comedia 
Goodbye Uncle Tom,11/01/2020,183,9278,Documental
"Goodbye, Columbus",05/07/2023,181,1277,Comedia 
Goodnight mommy,08/01/2020,114,6500,Terror
Grand Seduction,03/07/2020,139,5119,Comedia 
Grass: A Nation's Battle for Life,9/18/2018,83,9862,Documental
Great Gabbo,1/23/2019,62,4875,Comedia 
Great Magician,3/18/2020,192,2762,Comedia 
Green Card,01/01/2020,181,639,Comedia 
Green Room,7/30/2019,95,5477,Crimen
Green Street Hooligans ,01/05/2020,145,9267,Crimen
Greenfingers,10/10/2019,166,2008,Comedia 
Grill Point,6/29/2022,157,6697,Comedia 
Gross Anatomy ,01/09/2022,102,8243,Comedia 
Grudge Match,03/02/2021,181,9472,Comedia 
Guarding Tess,12/12/2022,184,8929,Comedia 
Guerra de novias,4/22/2021,92,1677,Comedia 
Guia de viaje hacia el amor,10/30/2018,183,9126,Comedia 
Guilty as Sin,4/28/2020,77,2368,Crimen
Guinea Pig: Flowers of Flesh and Blood ,1/22/2022,98,839,Terror
Guitar,07/11/2023,119,3972,Comedia 
Guns of the Magnificent Seven,03/07/2019,121,7721,Western
Gypsy,1/20/2021,125,293,Comedia 
Hail Columbia!,11/25/2021,177,9635,Comedia 
Hair,02/11/2023,131,8741,Comedia 
Hairspray,3/31/2022,184,6480,Comedia 
Halloween: The Curse of Michael Myers ,1/26/2023,163,5438,Terror
Halloweentown High,12/20/2021,119,458,Aventura
Hammer of the Gods,02/06/2019,63,965,Aventura
Hand Gun,9/24/2018,95,5520,Crimen
Hands of the Ripper,02/07/2020,73,9679,Terror
Hans,12/03/2022,75,1899,Comedia 
Happiness Is in the Field ,6/22/2023,160,5887,Comedia 
Happy,11/20/2018,117,7058,Crimen
Happy Christmas,02/01/2022,184,6454,Comedia 
Happy feed,5/27/2019,181,2423,Comedia 
Happy Poet,12/13/2021,190,193,Comedia 
Happy Tears,2/22/2022,157,5504,Comedia 
Happy Time,04/05/2020,173,5647,Comedia 
Hard Core Logo,4/14/2020,109,9802,Comedia 
Harold & Kumar Escape from Guantanamo Bay,12/21/2019,97,8834,Aventura
Harper,7/25/2021,122,8447,Crimen
Harriet the Spy,9/28/2022,148,6671,Comedia 
Harry and Tonto,06/03/2021,77,4138,Comedia 
Harry in Your Pocket,10/10/2022,157,9294,Crimen
Harry Potter and the Chamber of Secrets,10/10/2020,181,4229,Aventura
Harry Potter and the Deathly Hallows: Part 2,07/08/2023,201,940,Aventura
Harry Potter and the Half-Blood Prince,12/27/2020,100,5890,Aventura
Harsh Times,3/20/2020,102,242,Crimen
"Harvest: 3,000 Years ",2/27/2022,134,5455,Documental
Hatchet II,10/20/2021,89,6357,Terror
Hatchet III,4/21/2023,120,3316,Terror
Hated,11/07/2019,184,3989,Documental
"Haunted House 2, A",10/30/2021,181,1328,Comedia 
"Have Rocket, Will Travel",8/17/2019,134,2302,Comedia 
Havoc,04/01/2023,100,8830,Crimen
He Died With a Felafel in His Hand,11/11/2020,134,6244,Comedia 
He Ran All the Way,4/28/2019,181,8467,Crimen
Headfirst,03/04/2022,134,362,Comedia 
Headquarters ,01/09/2020,183,5311,Comedia 
Heartbreak Hospital,11/21/2019,65,3887,Comedia 
Hearts Divided,2/18/2021,95,6458,Historia
Heidi,04/07/2021,201,6858,Aventura
Hell Is for Heroes,12/29/2018,132,5211,Belico
Hell Town (Born to the West),04/10/2023,95,4053,Western
Hellbenders,03/11/2019,181,5197,Comedia 
Hellboy,5/14/2021,183,9693,Fantasia
Hellhounds on My Trail,7/21/2020,127,400,Terror
Hello Down There,04/01/2022,80,2979,Comedia 
Hello Herman,4/18/2021,208,8351,Suspenso
Hellraiser: Inferno,9/20/2022,108,8314,Terror
Hellzapoppin,12/08/2020,94,625,Musical
Henri-Georges Clouzot's Inferno ,6/24/2022,79,2614,Documental
Henry Fool,02/06/2021,149,5502,Comedia 
Herbie a toda marcha,8/13/2021,181,4006,Comedia 
Herbie: Fully Loaded,9/17/2018,192,2747,Aventura
Hercules,9/22/1997,95,1966,Aventura
Heroes de hierro,4/18/2023,95,5896,Belico
Heroes of the Regiment,10/02/2018,92,9547,Belico
Heroic Ones,12/29/2022,71,9399,Historia
Hesher,12/08/2018,156,8014,Crimen
Hey Bartender,11/27/2022,110,1747,Documental
Hide and Seek,1/16/2021,196,8684,Crimen
Hide in Plain Sight,1/20/2020,134,7208,Crimen
Hideous Sun Demon,12/05/2021,60,7065,Terror
Hiding Out,04/05/2019,134,5975,Comedia 
High Heels and Low Lifes,5/28/2021,143,1970,Comedia 
High Hopes,10/18/2020,134,2446,Comedia 
High School Musical,06/12/2023,95,9155,Comedia 
High Test Girls,5/29/2021,98,9619,Comedia 
Highball,05/05/2020,109,7117,Comedia 
Highway to Hell,3/15/2019,115,1119,Fantasia
Hilary and Jackie,03/04/2020,190,8639,Musical
Hills Run Red,11/23/2021,197,5215,Terror
Historias de Filadelfia,03/10/1940,95,3930,Comedia 
Historias extraordinarias,11/04/2019,134,9231,Aventura
Hits,09/06/2020,117,4616,Comedia 
Hobo with a Shotgun,5/15/2019,111,9510,Crimen
Hole in the Head,1/17/2023,63,4397,Comedia 
Holocaust,05/03/2022,64,9375,Historia
Holy Man,12/29/2019,63,4872,Comedia 
Holy Motors,9/30/2021,181,4674,Fantasia
Home of the Brave,1/28/2022,190,1090,Guerra
Home Sweet Home,11/18/2018,181,2696,Terror
"Honey, I Blew Up the Kid",7/14/2022,65,5487,Aventura
"Honey, We Shrunk Ourselves",07/05/2020,134,91,Aventura
Hood of Horror,03/09/2020,141,7819,Comedia 
Hopscotch,10/11/2021,108,9605,Comedia 
Horrors of Spider Island ,10/05/2020,181,585,Terror
Hospital,11/09/2022,89,5652,Documental
Hostile Intentions,05/02/2019,181,7324,Crimen
House of Seven Corpses,11/09/2020,190,4629,Terror
House on 92nd Street,12/31/2018,196,697,Crimen
House Party,12/23/2022,70,9158,Comedia 
Houseguest,3/22/2022,117,831,Comedia 
How I Ended This Summer ,4/30/2020,106,2805,Suspenso
How She Move,8/21/2022,181,7117,Musical
How to Cook Your Life,3/15/2022,85,3103,Documental
How to Draw a Bunny,07/11/2023,100,2941,Documental
How to Get Ahead in Advertising,1/18/2020,65,4132,Comedia 
How to Live Forever,7/14/2019,201,8657,Documental
How to Make an American Quilt,03/06/2020,195,5836,Comedia 
How to Marry a Millionaire,12/17/2018,65,5043,Comedia 
How to Seduce Difficult Women,10/06/2021,86,1308,Comedia 
Howards of Virginia,04/06/2019,175,3870,Historia
Hudsucker Proxy,7/26/2022,134,4602,Fantasia
"Hugh Hefner: Playboy, Activist and Rebel",4/14/2020,132,1145,Documental
Hugo Pool,12/23/2022,89,6042,Comedia 
Human Centipede II ,9/24/2018,171,8210,Terror
Human Nature,06/01/2022,167,2871,Comedia 
Human Planet,03/04/2020,125,1270,Documental
Human Traffic,12/18/2019,164,4454,Comedia 
Humble Pie,11/16/2021,117,2494,Comedia 
Hunky Dory,5/25/2022,181,2761,Musical
Hunting and Gathering,01/02/2019,140,4219,Comedia 
Hustlers,8/26/2019,73,4805,Crimen
Hyde Park on Hudson,11/08/2018,184,9320,Comedia 
Hypocrites,3/16/2022,89,4566,Fantasia
I Am Fishead,9/20/2021,134,6707,Documental
I Bought a Vampire Motorcycle,03/04/2022,184,1911,Fantasia
I Bury the Living,8/29/2020,102,3072,Crimen
I Could Go on Singing,12/23/2019,95,1794,Musical
I Drink Your Blood,07/01/2023,104,2764,Terror
I Have Found It ,03/08/2019,67,3615,Musical
I Hired a Contract Killer,04/07/2020,73,571,Suspenso
I Hope They Serve Beer in Hell,7/25/2020,89,71,Comedia 
I Love You I Love You,03/05/2023,87,3813,Comedia 
I Love You to Death,07/07/2023,95,7704,Comedia 
I Saw Mommy Kissing Santa Claus,9/18/2018,73,9606,Comedia 
I Saw the Sun ,08/01/2020,95,6228,Guerra
Ice Princess,4/29/2019,158,6111,Comedia 
Iceman Tapes: Conversations with a Killer,10/16/2021,140,9589,Documental
If God Is Willing and da Creek Don't Rise,11/17/2022,77,1560,Documental
If Only,11/08/2021,103,3331,Fantasia
If You Are the One,9/25/2020,122,8108,Comedia 
I'll Do Anything,10/10/2019,125,8714,Musical
Illtown,09/04/2021,89,1703,Crimen
I'm No Angel,9/28/2022,117,511,Comedia 
I'm Not There,12/17/2018,89,2597,Musical
I'm Starting From Three ,01/04/2021,95,3197,Documental
Imaginary Witness: Hollywood and the Holocaust ,2/23/2022,117,6697,Documental
IMAX: Hubble 3D,6/30/2022,95,335,Belico
Impact,08/09/2020,134,4641,Suspenso
In Fear,10/11/2019,140,8530,Documental
In God We Teach,11/19/2018,105,7748,Aventura
In God's Hands,12/21/2022,80,5419,Belico
In Harm's Way,1/29/2022,207,2953,Crimen
In Praise of Love ,7/20/2023,181,3207,Comedia 
In the Land of Blood and Honey,10/05/2020,141,1192,Belico
In the Mix,12/07/2021,183,1078,Comedia 
In the Navy,2/26/2022,155,7814,Musical
In the Shadow of Doubt ,6/25/2019,95,1384,Crimen
In the Shadow of the Machine,7/14/2019,128,9988,Documental
In Their Sleep ,9/26/2018,112,3353,Suspenso
Inadequate People ,9/21/2020,194,5966,Comedia 
Inbetweeners Movie,11/07/2019,142,9195,Comedia 
Incantation,02/11/2022,169,6016,Terror
Incendiary,08/12/2019,133,8525,Suspenso
Incompatibles,1/13/2019,134,8888,Comedia 
Incompatibles II,12/31/2018,157,984,Comedia 
Indian Summer,12/20/2022,95,2747,Comedia 
Indiscreet,03/09/2019,177,8074,Comedia 
Industrial Symphony No. 1: The Dream of the Brokenhearted,07/03/2022,95,5639,Musical
Inherit the Wind,10/09/2022,135,4591,Historia
Injury to One,04/01/2019,95,6223,Documental
Insidious: Chapter 2,1/27/2021,208,4914,Terror
Insondable,05/11/2023,181,3953,Documental
Inspector Clouseau,4/19/2023,195,4886,Comedia 
Intensamente,12/23/2019,89,8300,Aventura
Interstate 60,08/10/2022,102,4471,Aventura
Intimate Relations,10/24/2019,118,2671,Comedia 
Into the Deep,2/18/2023,89,3530,Documental
Into the Night,06/09/2020,88,3342,Comedia 
Into the West,04/04/2020,155,7978,Aventura
Invisible Woman,11/29/2020,132,329,Comedia 
Iraq for Sale: The War Profiteers,7/26/2019,182,4449,Documental
Irma la Douce,6/16/2020,184,3392,Comedia 
"Irony of Fate, or Enjoy Your Bath! ",08/02/2019,145,6808,Comedia 
Irreversible ,10/17/2021,71,9965,Crimen
It,2/19/2021,136,2863,Comedia 
It Came from Hollywood,08/06/2022,154,4979,Documental
It Happened at the World's Fair,6/20/2021,102,9735,Musical
It's a Bird,6/29/2022,106,973,Documental
It's Alive,09/01/2018,147,6614,Terror
