Titulo,Estreno,Duracion,Ventas,Genero
El extraño mundo de Jack,5/30/2023,103,7036,Animacion
El fotografo y el cartelero: El crimen de cabezas,7/21/2022,170,4275,Drama
El frio de los huesos,12/22/2018,204,8691,Drama
El Funeral,11/10/2022,93,1569,Drama
El gato ,3/25/2023,132,9803,Animacion
El gato con botas,1/31/2021,191,4969,Animacion
El gato ladron,10/05/2022,122,9581,Animacion
El gran hotel Budapest,6/13/2014,134,520,Aventura
El gran Lebowski,11/10/1998,60,537,Comedia 
El guateque,05/03/1968,95,9291,Comedia 
El Hada Buena ,8/27/2019,187,5966,Animacion
El Hijo de la Novia,5/22/2023,130,9764,Comedia 
El hombre gris,1/21/2022,117,2883,Drama
El hoyo,7/31/2022,75,6298,Ciencia Ficcion
El increible castillo del vagabundo,7/13/2022,115,2850,Animacion
El infierno ,5/20/2020,99,2429,Accion
El irlandes,05/11/2021,95,5938,Drama
El jorobado de Nort Dame,10/03/1996,137,7409,Animacion
El Jovencito Frankenstein,12/03/1974,181,659,Comedia 
El libro de la selva ,08/05/1967,125,1198,Animacion
El Lobo,10/12/2021,95,8800,Drama
El lugar equivocado,11/13/2022,79,546,Drama
El malvado Carabel,02/11/2021,109,314,Drama
El maquinista de la general,09/09/1926,181,2316,Comedia 
El mundo de la posverdad,02/09/2021,124,3570,Documental
El Narco,7/30/2023,66,7209,Documental
El niño con la pijama de rayas,05/01/2019,159,6661,Drama
El orfanato ,12/22/2021,151,9418,Drama
El otro lado de la cama,07/04/2023,105,7900,Comedia 
El paciente,6/20/2020,134,4193,Drama
El Padrecito,05/05/2021,142,7526,Comedia 
El paquete,01/03/2018,115,4937,Comedia 
El perfumista,6/29/2021,182,416,Drama
El planeta del tesoro,8/30/2002,134,8629,Animacion
El prodigo,10/21/2023,112,24,Drama
El profesor,2/26/2022,181,6442,Comedia 
El robo a Mussolini,10/30/2018,168,7254,Drama
El señor de los anillos,6/23/2020,64,5746,Accion
El suplente,6/26/2020,65,7315,Comedia 
El sur,10/09/2021,94,563,Drama
El Telefono negro,01/02/2022,82,3470,Drama
El tiempo contigo,12/19/2020,160,4349,Animacion
El viaje a Chihiro,8/24/2021,184,9211,Animacion
El viaje increible,4/19/2019,100,695,Aventura
El Violin,3/15/2023,81,8192,Drama
EL zorro y el sabueso,11/07/2019,157,8912,Animacion
Elaine Stritch: Shoot Me,01/01/2021,85,4626,Documental
Electile Dysfunction,8/13/2023,111,3815,Documental
"Electric Boogaloo: The Wild, Untold Story of Cannon Films",11/30/2019,178,5085,Documental
Elektra Luxx,3/25/2021,147,297,Comedia 
Elemental,4/16/2023,183,4832,Documental
Elf,10/28/2021,108,5292,Comedia 
Elfie Hopkins: Cannibal Hunter,10/17/2019,181,7168,Comedia 
Elizabeth,06/09/2023,63,3111,Drama
Elizabethtown,07/08/2020,190,7566,Romance
Ella y el miedo,06/02/2022,181,1741,Romance
Elles,7/23/2023,195,1208,drama
Elvira Madigan,11/24/2019,186,4984,Romance
Elvis: That's the Way It Is,8/28/2022,117,6723,Documental
Embrace of the Vampire,12/23/2020,134,2465,Fantasia
Emma,06/07/2022,157,5095,Comedia 
Emo Philips Live,07/05/2019,87,430,Comedia 
Empire of the Sun,8/28/2021,79,4464,draa
En la Toscana,3/20/2022,122,2266,Comedia 
Encanto,3/17/2021,134,1636,Animacion
Encore,11/08/2022,119,6237,Drama
Encounter in the Third Dimension,9/30/2020,118,8948,Documental
Encounters at the End of the World,10/05/2020,95,882,Documental
End of the World,07/11/2019,89,6428,Drama
Endgame: Blueprint for Global Enslavement,04/10/2020,92,6734,Documental
Endless Love,10/30/2022,186,9041,Drama
Endless Summer,08/01/2019,88,7031,Documental
Endless Summer 2,10/15/2019,152,181,Documental
Enduring Love,3/29/2020,105,8080,Drama
Enemies of Reason,7/13/2021,65,3213,Documental
Enforcer,1/13/2023,72,9960,Accion
Engaño a la vuelta de la esquina,8/30/2022,140,5001,Comedia 
English Vinglish,10/17/2020,60,5484,Comedia 
Englishman Who Went Up a Hill But Came Down a Mountain,6/29/2023,156,6152,Comedia 
Enmascarado,5/19/2019,65,3033,Documental
Enredados,7/14/2010,196,3629,Animacion
Enron: The Smartest Guys in the Room,01/11/2023,181,6899,Documental
Enter Nowhere,02/09/2022,83,3075,Misterio
Entity,4/27/2020,191,9030,Terror
Entre ses mains,12/24/2020,181,3071,Drama
Envy,01/11/2020,181,7547,Comedia 
Episode 3: Enjoy Poverty,12/21/2019,167,6586,Documental
Equus,7/22/2019,145,8073,Drama
Eragon,10/31/2018,102,1016,Aventura
Erase una vez ,1/15/2023,79,2015,Comedia 
Eres tu,12/30/2023,117,8843,dra
Ernest & Celestine,5/15/2023,95,2375,Animacion
Ernest Goes to Africa,8/17/2022,69,2027,Comedia 
Ernest Goes to School,3/29/2020,185,2614,Comedia 
Escalofrio,11/28/2022,166,2672,Misterio
Escape from Fort Bravo,10/13/2018,102,7855,Western
Escape from L.A.,1/20/2022,192,4799,Accion
Escape from Planet Earth,3/28/2020,81,717,Animacion
Escape from Suburbia: Beyond the American Dream,08/02/2019,181,6792,Documental
Ese es mi hijo,11/14/2021,89,1199,Comedia 
Estomago: A Gastronomic Story,12/02/2019,181,8704,Drama
Etoiles: Dancers of the Paris Opera Ballet ,4/27/2020,122,5730,Documental
Evan Almighty,1/20/2021,116,9470,Comedia 
Even the Rain ,5/19/2021,76,2427,Drama
Ever Since the World Ended,12/28/2021,205,9172,Ciencia Ficcion
Everlasting Moments,12/04/2022,100,3388,Drama
Everybodys Acting,03/10/2022,175,9338,Drama
Everyday People,12/23/2022,93,6427,Drama
Everyone See You Tomorrow,11/16/2019,83,47,Romance
Everyones Hero,05/10/2023,199,9449,Animacion
Everything,12/01/2021,117,4295,Comedia 
Everything about Mustafa,12/10/2022,198,4499,Documental
Everything Will Be Fine,8/30/2019,110,6595,Drama
Evidence,3/16/2023,184,6093,Crimen
Evil dead: El despertar,05/01/2020,79,1929,Terror
Excalibur,11/06/2018,163,5605,Aventura
Excess Baggage,1/17/2020,65,1616,Accion
Executioners ,01/12/2021,150,4718,Accion
Exiles,03/08/2023,77,6126,Drama
Exists,5/29/2022,134,1154,Aventura
Exit to Eden,12/20/2022,157,7165,Comedia 
Exorcist II: The Heretic,12/27/2020,95,7265,Terror
Exotica,4/21/2021,124,7341,Drama
Expecting a Miracle,08/04/2020,95,4430,Drama
Expendables,7/28/2022,134,9160,Accion
Experience,05/01/2020,99,3469,Drama
Exposed,11/02/2022,105,9973,Crimen
Exterminating Angels,02/07/2021,188,5317,Drama
Extraterrestrial,1/14/2023,100,8697,Ciencia Ficcion
Extreme Justice,07/12/2023,196,4671,Accion
Extreme Movie,08/10/2021,175,8765,Comedia 
Extreme Prejudice,07/01/2021,181,7087,Accion
Eye,05/06/2022,198,8503,Horror
Eye of the Beholder,6/14/2023,65,6253,Drama
Eye of the Needle,08/03/2023,187,3362,Drama
Eyes Without a Face ,12/07/2022,89,1349,Drama
Face to Face ,07/07/2019,100,5457,Drama
Facing Ali,01/07/2023,102,1684,Documental
Fade To Black,10/13/2018,102,5061,Drama
Fahrenhype 9/11,12/12/2020,62,5002,Documental
Fair Game,08/06/2021,156,5481,Drama
FairyTale: A True Story,03/03/2022,117,4617,Drama
Fallen Sparrow,07/03/2019,170,7041,Drama
Falling Down,2/22/2022,95,6432,Crimen
Familia,5/20/2021,187,2139,Comedia 
Familiar Ground,06/07/2020,68,7388,Drama
Family Guy Presents: Blue Harvest,10/15/2018,136,8931,Animacion
Family Jewels,09/12/2018,92,5972,Comedia 
Family Thing,12/20/2021,143,3062,Comedia 
Family United ,03/04/2019,181,2496,Comedia 
Family Viewing,5/24/2021,187,4691,Drama
Fandry,09/04/2018,183,7570,Drama
Fanfan la Tulipe ,11/27/2020,139,6773,Aventura
Fanny,3/17/2021,105,7764,Drama
Fantasia,2/23/1940,176,2145,Animacion
Fantastic Fear of Everything,7/29/2021,81,9181,Comedia 
Far,12/02/2020,183,1550,Drama
"Farewell, My Queen",10/14/2020,181,6499,Drama
Farmer's Wife,1/16/2022,71,790,Drama
Fast & Furious 4,5/18/2023,70,9501,Accion
Fast and the Furious,6/28/2023,125,5612,Accion
Fast and the Furious 3: Tokyo Drift,03/06/2021,144,6126,Accion
Fast Food Nation,3/30/2021,201,1514,Comedia 
Fast Lane,11/12/2020,193,8555,Crimen
Fat Albert,12/15/2018,89,7130,Animacion
Fatal Attraction,3/24/2021,154,6996,Drama
Fate,9/20/2022,119,4871,Drama
Fate Is the Hunter,5/14/2022,127,6580,Drama
Father,05/08/2023,184,2457,Drama
Father Sergius ,12/24/2018,163,6406,Drama
Fatty and Mabel Adrift,2/21/2022,97,2192,Comedia 
Fatty Drives the Bus,11/10/2019,134,2378,Comedia 
Favela Rising,11/16/2018,167,4312,Documental
Fear City,8/22/2021,73,2363,Crimen
Fear Over the City,12/06/2019,209,1985,Accion
Feast at Midnight,5/22/2023,68,90,Comedia 
Feds,11/17/2020,95,7118,Comedia 
Feeding Frenzy,04/12/2020,157,2137,Terror
Feel the Noise,11/27/2022,146,1933,Drama
Felix the Cat: The Movie,7/15/2020,134,8420,Animacion
Fenomenas,1/25/2023,139,6112,Drama
Ferocious,4/30/2020,89,6344,Crimen
Fetching Cody,10/27/2021,97,5804,Comedia 
Fetishes,1/30/2020,157,9301,Documental
Fever,5/29/2020,147,123,Crimen
Fever in the Blood,9/15/2020,103,8044,Drama
Few Best Men,2/14/2022,139,6647,Comedia 
Few of Us,3/16/2019,95,9881,Drama
Field in England,11/17/2021,206,686,Drama
Fierce Light: When Spirit Meets Action,11/24/2022,191,8484,Documental
Fierce People,11/24/2020,96,4086,Drama
Fight for Your Right Revisited,08/08/2020,79,8812,Comedia 
Fighting Seabees,07/03/2019,182,2046,Accion
Fighting Sullivans,10/24/2021,95,3124,Drama
Fightville,11/01/2020,184,1348,Documental
Filming 'Othello',7/29/2023,122,3624,Documental
Filthy Gorgeous: The Bob Guccione Story,9/23/2018,84,9985,Documental
Final Cut,2/26/2021,95,4936,Ciencia Ficcion
Final del camino,03/03/2020,68,2033,Comedia 
Final Destination 2,09/04/2020,184,9665,Terror
Final Fantasy VII: Advent Children,03/07/2019,181,2313,Animacion
Finding a Family,10/26/2021,64,9067,Drama
"Fine, Totally Fine",3/17/2021,89,2460,Comedia 
Fingers,9/27/2021,179,7350,Crimen
Firecreek,06/06/2020,102,4805,Western
Fired Up,10/16/2019,67,7405,Comedia 
Firehouse Dog,11/03/2019,70,6409,Comedia 
First Day of the Rest of Your Life,1/22/2019,149,9093,Drama
First Grader,06/02/2021,89,4950,Drama
"First Love, Last Rites",10/25/2022,146,5169,Drama
First Man,04/07/2022,181,4569,Drama
Fist of the North Star,3/16/2021,186,9456,Accion
Fiston,11/06/2022,134,5465,Comedia 
Fists in the Pocket,2/21/2020,134,1394,Drama
Five Days One Summer,4/15/2019,117,3148,Drama
Five Minutes to Live,04/01/2019,134,3646,Crimen
Five Wives Three Secretaries and Me,10/12/2020,72,8562,Comedia 
Fixed,9/14/2023,150,4543,Drama
Flags of Our Fathers,07/04/2021,110,3906,Drama
Flamenco ,09/12/2018,95,4339,Documental
Flaming Creatures,1/26/2019,181,2469,Drama
Flesh,11/01/2019,68,8575,Crimen
Flicker ,06/03/2023,177,2121,Documental
Flickering Lights ,3/26/2020,117,2493,Comedia 
Flight of the Intruder,8/19/2021,155,7315,Accion
Flightplan,4/23/2021,181,3140,Misterio
Flim-Flam Man,05/04/2020,135,1949,Comedia 
Flipped,12/29/2022,89,5218,Comedia 
Flirtation Walk,06/09/2020,117,5711,Drama
Floating Clouds ,02/04/2023,137,1264,Drama
Floating Weeds ,6/30/2022,120,8519,Drama
Florida Vernon,6/23/2021,96,5759,Drama
Flower Drum Song,1/29/2021,76,9505,Drama
Flowers of Shanghai ,08/01/2021,177,5756,Drama
Flowers of St. Francis,11/03/2018,156,3724,Drama
Flowing,06/01/2021,81,657,Drama
Flying Down to Rio,5/26/2020,157,4817,Comedia 
Flying Fleet,2/16/2019,137,5568,Romance
Flypaper,3/13/2019,158,8745,Comedia 
Focus,7/17/2020,125,5988,Comedia 
Folies Bergere de Paris,02/04/2020,128,1831,Comedia 
Follow Me Quietly,1/29/2019,196,4693,Crimen
Follow That Dream,12/23/2019,95,7985,Comedia 
Follow the Bitch,10/08/2022,95,6130,Comedia 
Follow the Fleet,12/07/2019,102,2351,Comedia 
Fond Kiss,4/17/2022,68,4180,Drama
Food of Love ,1/28/2022,97,4414,Drama
Foolproof,05/10/2020,90,6635,Comedia 
Fools Rush In,10/30/2021,127,9264,Comedia 
Footlight Parade,7/19/2020,97,8599,Comedia 
Footloose,11/14/2018,93,2551,Drama
For All Mankind,6/15/2020,79,1596,Documental
For Ever Mozart,02/10/2021,157,9758,Comedia 
For Keeps,2/15/2023,100,5528,Comedia 
For Love or Money,5/29/2022,190,6033,Comedia 
For My Fatherr,10/29/2018,96,4147,Drama
For Roseanna,04/11/2023,137,721,Comedia 
For the Love of Benji,10/29/2020,248,3354,Aventura
For the Moment,02/04/2021,142,8422,Drama
For Whom the Bell Tolls,07/08/2020,78,4323,Aventura
Forbidden,02/11/2022,134,26,Drama
Forbidden Christ,1/22/2021,183,2940,Drama
Forbidden Zone,05/10/2022,68,5969,Comedia 
Forest Gump,8/26/2023,134,2032,Drama
Forest of the Gods ,8/23/2023,142,5193,Drama
Forever Fever,9/16/2020,118,149,Comedia 
Forget Paris,9/25/2018,209,8883,Comedia 
Forgotten,3/22/2021,152,5971,Drama
Forgotten One,12/17/2018,187,6079,Terror
Fort Apache,5/22/2023,74,9440,Western
Fortress,04/02/2023,79,326,Accion
Foster Brothers,1/26/2019,181,1020,Comedia 
Foul Play,07/01/2020,149,4812,Comedia 
Four Christmases,02/06/2023,95,2815,Comedia 
Four Friends,08/01/2019,134,799,Drama
Four Heads Are Better Than One,1/29/2023,95,8528,Comedia 
Four Horsemen,9/24/2021,177,7492,Documental
Four Nights with Anna,10/31/2021,122,8239,Drama
Four Seasons ,8/28/2020,149,8635,Comedia 
Four Sons,04/01/2019,75,8913,Drama
Four Weddings and a Funeral,8/16/2021,121,2411,Comedia 
Fractura,12/19/2022,83,3503,Thriller
Frances,04/04/2021,176,9826,Drama
Frankenhooker,10/21/2018,184,5133,Comedia 
Frankenstein Must Be Destroyed,12/13/2020,172,6093,Ciencia Ficcion
Frankenstein's Army,12/08/2018,138,641,Accion
Franklyn,09/05/2020,133,6904,Ciencia Ficcion
Franz Kafka's a Country Doctor,6/22/2021,173,4318,Drama
Free Ride,9/30/2020,181,7385,Accion
Freeloaders,11/04/2019,134,7489,Comedia 
Freezer,3/22/2022,138,1992,Accion
French Film,8/30/2019,173,5091,Comedia 
French Fried Vacation 2 ,11/01/2019,117,4431,Comedia 
French Twist ,03/09/2022,60,6496,Comedia 
Frenchmen ,9/29/2020,138,7588,Comedia 
Frenzy,11/08/2021,131,8511,Crimen
Fresh Bait ,9/20/2020,181,306,Drama
Fresh Guacamole,3/27/2021,195,8586,Animacion
Fresh Horses,6/29/2020,134,5325,Drama
Freud: The Secret Passion,10/01/2019,117,791,Drama
Friday the 13th,1/25/2023,163,5798,Terror
Friday the 13th Part V: A New Beginning,03/01/2023,85,5400,Terror
Friday the 13th Part VI: Jason Lives,7/25/2022,181,9338,Terror
Friend of the Deceased,07/12/2020,81,1679,Comedia 
Friends with Kids,07/04/2019,68,3502,Comedia 
Frisk,8/26/2019,81,6727,Drama
From Beijing with Love,1/22/2023,181,6960,Accion
From Hell It Came,05/08/2019,147,8496,Ciencia Ficcion
From Paris with Love,11/22/2019,122,7609,Accion
From the Earth to the Moon,09/10/2021,124,7224,Drama
From the Hip,12/10/2020,170,1200,Comedia 
From Time to Time,03/10/2021,95,4719,Aventura
From Up on Poppy Hill ,01/02/2022,188,686,Animacion
Frontier of the Dawn ,1/30/2021,113,2575,Romance
Frontrunners,7/13/2019,63,1139,Documental
Frosty the Snowman,10/30/2021,134,7281,Animacion
Frozen,11/28/2023,117,9820,Animacion
Frozen,07/12/2021,94,3140,Drama
Frutos del viento,11/22/2022,120,6157,Drama
Fuck,11/23/2020,184,5625,Documental
Fue la mano de Dios,2/14/2020,157,103,Drama
Fuel,3/16/2021,181,6916,Documental
Fugitive Kind,11/21/2019,92,6859,Drama
Fugitivo,2/25/2023,95,2969,Accion
Full Speed ,8/26/2022,209,4930,Accion
Full Tilt Boogie,8/17/2022,206,9548,Documental
Fullmetal Alchemist the Movie: Conqueror of Shamballa,04/02/2022,119,5790,Animacion
Fulltime Killer,04/12/2020,127,7584,Accion
Fun,8/30/2023,134,4606,Crimen
Fun in Acapulco,4/14/2019,100,5270,Comedia 
Fun with Dick and Jane,4/27/2022,159,2829,Comedia 
Funeral in Berlin,6/20/2023,156,8787,Thriller
Funhouse,7/23/2020,117,1889,Terror
Furioza,12/19/2018,172,54,Accion
Furry Vengeance,10/06/2022,121,3248,Aventura
Fury,10/19/2019,163,7746,drama
Future by Design,6/29/2019,137,5777,Documental
Future Cops ,2/21/2022,181,6420,Ciencia Ficcion
G.B.F.,7/16/2022,134,952,Comedia 
G@me,10/18/2022,95,4885,Drama
Galaxy Invader,1/28/2022,63,3832,Ciencia Ficcion
Gambling City,05/10/2020,175,3127,Ciencia Ficcion
Gamera vs. Barugon,10/08/2019,107,9440,Crimen
Gamera: The Giant Monster,12/06/2022,68,66,Accion
Gandhi,12/08/2019,122,6940,Accion
Gang Related,12/29/2020,153,3233,Drama
Gangsters,12/09/2019,181,2242,Crimen
Gardens of Stone,05/09/2021,61,1099,Drama
Garfield's Pet Force,04/12/2019,149,6857,Animacion
Garra,10/20/2022,128,7313,Accion
"Gas, Inspector Palmu! ",6/20/2022,122,9065,Comedia 
Gaslight,06/07/2020,89,1370,Crimen
Gate of Flesh ,04/01/2019,183,5961,Crimen
Gayniggers From Outer Space,2/16/2019,195,3363,Ciencia Ficcion
Gendernauts,6/15/2022,137,5467,Documental
Gentlemen Broncos,6/16/2019,157,8399,Fantasia
Gentlemen Prefer Blondes,09/06/2018,95,5967,Comedia 
George Carlin: Life Is Worth Losing,10/04/2022,117,4114,Comedia 
George Washington Slept Here,6/15/2022,184,2137,Comedia 
Georgia Rule,5/15/2020,79,5727,Comedia 
Geronimo,11/03/2022,207,9596,Aventura
Gerry,1/28/2020,108,3987,Drama
Get Out of My Room,8/20/2021,79,6845,Comedia 
Get Rich or Die Tryin',1/19/2019,153,9553,Crimen
Get Shorty,05/08/2020,65,7844,Comedia 
Get Smart,3/27/2020,134,638,Accion
Get Yourself a College Girl,1/14/2021,176,115,Comedia 
Getting Any?,07/10/2022,89,8659,Comedia 
Getting to Know You,7/15/2021,112,2517,Drama
Ghetto ,10/27/2021,192,5493,Crimen
Ghost Rider,11/28/2019,95,2810,Accion
Ghost Town,12/25/2019,95,8318,Comedia 
Ghostbusters II,8/15/2020,117,2922,Accion
Ghosted,1/22/2022,169,3976,Comedia 
Ghoul,5/26/2021,117,1068,Terror
Ghoulies II,3/27/2020,86,7257,Comedia 
Ghoulies IV,05/09/2019,89,5260,Comedia 
Ghoulies IV,04/08/2020,129,4192,Comedia 
Giants and Toys ,9/20/2018,78,9888,Comedia 
Gifted Hands: The Ben Carson Story,11/09/2018,109,6218,Drama
Gigot,05/07/2023,82,9151,Comedia 
Gilgamesh,11/25/2023,197,5863,Aventura
Giliap,12/14/2020,181,9070,Drama
Gimme Shelter,07/03/2020,172,5335,Documental
Giorgino,10/18/2018,111,7944,Aventura
Girl,04/02/2021,99,5068,Drama
Girl Crazy,4/24/2022,118,6318,Comedia 
Girl Model,1/22/2020,60,6964,Documental
Girl of Finland ,01/05/2023,69,3695,Drama
Girl on a Bicycle,07/08/2022,95,952,Romance
Girl Play,01/04/2022,190,8248,Comedia 
Girl Said No,11/02/2021,181,6781,Comedia 
Girlfriend Experience,8/22/2019,95,7223,Drama
Girls Just Want to Have Fun,02/02/2021,147,2323,Comedia 
Giuseppe Makes a Movie,5/22/2023,122,3216,Documental
Gladbeck: El drama de los rehenes,12/27/2019,134,2732,Drama
Glamorous Life of Sachiko Hanai,12/13/2021,120,4975,Ciencia Ficcion
Glass Onion: Un misterio de Knives Out,11/29/2021,117,2240,Documental
Glass Slipper,09/07/2018,172,971,Drama
Glenn Killing Berns,05/01/2021,174,4201,Comedia 
Glorious Technicolor,07/01/2020,129,9523,Documental
Glory Daze,6/28/2020,184,7112,Comedia 
Go Fish,7/23/2021,88,1026,Comedia 
Go Tigers!,11/06/2020,142,8517,Documental
God Grew Tired of Us,12/09/2020,67,8894,Documental
God Is Brazilian ,10/08/2022,128,3147,Comedia 
God on Trial,2/16/2023,134,9274,Drama
God Said Ha!,1/13/2019,152,5809,Comedia 
Gods Must Be Crazy,11/07/2021,188,3496,Aventura
God's Puzzle ,08/10/2023,165,418,Drama
Godse,3/21/2021,150,1120,Drama
Godson,02/04/2021,181,8189,Comedia 
Godzilla vs. Mechagodzilla ,12/07/2021,157,4329,Accion
"Godzilla, Mothra, and King Ghidorah: Giant Monsters All-Out Attack (Gojira, Mosura, Kingu GidorÃ¢: DaikaijÃ» sÃ´kÃ´geki) (Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack)",7/15/2023,134,5048,Accion
Godzilla: The Legend Is Reborn ,04/02/2019,181,3609,Aventura
Going in Style,7/17/2021,81,8391,Comedia 
Going My Way,05/07/2021,181,1780,Comedia 
Going Overboard,3/18/2019,79,9611,Comedia 
"Goke, Body Snatcher from Hell ",12/30/2021,143,1176,Ciencia Ficcion
Golden Bowl,10/30/2018,95,9638,Drama
Goldfinger,11/06/2020,95,8528,Accion
Gone Fishin',04/03/2022,116,8664,Comedia 
Good Burger,9/21/2019,183,8045,Comedia 
Good German,5/29/2022,100,4262,Drama
"Good Men, Good Women ",9/21/2018,99,6888,Drama
"Good Morning, Night",10/20/2020,119,8210,Drama
Good News,8/16/2019,166,1851,Comedia 
Good Old Daze ,01/04/2023,98,2178,Documental
Good Shepherd,8/14/2023,85,408,Drama
Good Time Max,11/04/2019,158,2012,Comedia 
Goodbye Mr. Chips,1/16/2020,79,3983,Drama
Goodbye Uncle Tom,11/01/2020,183,9278,Documental
"Goodbye, Columbus",05/07/2023,181,1277,Comedia 
Goodnight mommy,08/01/2020,114,6500,Terror
Gospel According to St. Matthew,1/17/2022,97,1921,Drama
Gossip,09/05/2019,117,3164,Drama
Grace Is Gone,08/07/2019,94,3355,Drama
Graceland,12/22/2022,93,5213,Drama
Graduation Day,8/28/2022,95,2876,Misterio
Grand Piano,10/27/2019,150,5208,Drama
Grand Prix,5/26/2021,181,6940,Accion
Grand Seduction,03/07/2020,139,5119,Comedia 
Grandes Heroes,12/10/2019,157,2021,Animacion
Grass: A Nation's Battle for Life,9/18/2018,83,9862,Documental
Great Gabbo,1/23/2019,62,4875,Comedia 
Great Magician,3/18/2020,192,2762,Comedia 
Greed,7/21/2021,85,4885,Drama
Green Card,01/01/2020,181,639,Comedia 
Green Lantern: First Flight,9/29/2022,95,3793,Animacion
Green Room,7/30/2019,95,5477,Crimen
Green Street Hooligans ,01/05/2020,145,9267,Crimen
Greenfingers,10/10/2019,166,2008,Comedia 
Grill Point,6/29/2022,157,6697,Comedia 
Gross Anatomy ,01/09/2022,102,8243,Comedia 
Grown Up Movie Star,12/10/2022,95,6586,Drama
Grudge Match,03/02/2021,181,9472,Comedia 
Guardianes de la galaxia ,02/03/2021,95,2038,Accion
Guarding Tess,12/12/2022,184,8929,Comedia 
Guerra de dos mundos,5/25/2022,134,9687,Ciencia Ficcion
Guerra de novias,4/22/2021,92,1677,Comedia 
Guerra mundial Z,10/07/2022,117,3597,Accion
Guia de viaje hacia el amor,10/30/2018,183,9126,Comedia 
Guilty as Sin,4/28/2020,77,2368,Crimen
Guinea Pig: Flowers of Flesh and Blood ,1/22/2022,98,839,Terror
Guitar,07/11/2023,119,3972,Comedia 
Guns of the Magnificent Seven,03/07/2019,121,7721,Western
Guyana Tragedy: The Story of Jim Jones,6/13/2022,205,3328,Drama
Gypsy,1/20/2021,125,293,Comedia 
"H.M. Pulham, Esq.",08/01/2022,81,9558,Romance
Hail Columbia!,11/25/2021,177,9635,Comedia 
Hair,02/11/2023,131,8741,Comedia 
Hairspray,3/31/2022,184,6480,Comedia 
Half of a Yellow Sun,4/19/2021,134,8793,Drama
Halloween is Grinch Night,12/10/2021,181,9876,Animacion
Halloween: The Curse of Michael Myers ,1/26/2023,163,5438,Terror
Halloweentown High,12/20/2021,119,458,Aventura
Hambre,9/26/2023,151,7331,Drama
Hamilton - In the Interest of the Nation,3/24/2020,151,6172,Drama
Hamlet,02/02/2023,135,4459,Romance
Hammer of the Gods,02/06/2019,63,965,Aventura
Hamsun,7/29/2022,102,8521,Drama
Han Gong-ju,06/10/2019,102,911,Drama
Hand Gun,9/24/2018,95,5520,Crimen
Hands of the Ripper,02/07/2020,73,9679,Terror
Hangar 18,05/08/2019,142,2035,Ciencia Ficcion
Hanging Garden,11/25/2020,147,7608,Drama
Hangmen Also Die,01/04/2020,169,8398,Drama
Hans,12/03/2022,75,1899,Comedia 
Hanussen,6/16/2021,95,5926,Drama
Happiness Is in the Field ,6/22/2023,160,5887,Comedia 
Happy,11/20/2018,117,7058,Crimen
Happy Christmas,02/01/2022,184,6454,Comedia 
Happy feed,5/27/2019,181,2423,Comedia 
Happy Here and Now,5/22/2021,125,6408,Drama
Happy Poet,12/13/2021,190,193,Comedia 
Happy Tears,2/22/2022,157,5504,Comedia 
Happy Time,04/05/2020,173,5647,Comedia 
Harakiri,7/16/2020,122,9777,Accion
Hard Core Logo,4/14/2020,109,9802,Comedia 
Hard Times,01/02/2022,112,5776,Drama
Hard to Be a God,2/16/2019,164,5586,Ciencia Ficcion
Hard to Hold,3/16/2022,201,5618,Drama
Hard to Kill,4/14/2023,67,6210,Accion
"Hard, Fast and Beautiful",10/11/2021,90,3688,Drama
Hardcore,03/04/2019,131,1485,Drama
Harmagedon,3/16/2019,67,4640,Animacion
Harmful Insect,2/13/2019,144,5333,Drama
Harold & Kumar Escape from Guantanamo Bay,12/21/2019,97,8834,Aventura
Harper,7/25/2021,122,8447,Crimen
Harriet the Spy,9/28/2022,148,6671,Comedia 
Harry and Tonto,06/03/2021,77,4138,Comedia 
Harry Brown,3/27/2023,162,47,Accion
Harry in Your Pocket,10/10/2022,157,9294,Crimen
Harry Potter and the Chamber of Secrets,10/10/2020,181,4229,Aventura
Harry Potter and the Deathly Hallows: Part 2,07/08/2023,201,940,Aventura
Harry Potter and the Half-Blood Prince,12/27/2020,100,5890,Aventura
Harsh Times,3/20/2020,102,242,Crimen
"Harvest: 3,000 Years ",2/27/2022,134,5455,Documental
Hasta el limite,5/20/2022,157,2679,Drama
Hasta el ultimo hombre,10/23/2020,187,7499,Drama
Hatchet II,10/20/2021,89,6357,Terror
Hatchet III,4/21/2023,120,3316,Terror
Hated,11/07/2019,184,3989,Documental
Haunted,2/27/2021,68,9046,Drama
"Haunted House 2, A",10/30/2021,181,1328,Comedia 
Haunter,4/29/2021,69,4909,Misterio
"Have Rocket, Will Travel",8/17/2019,134,2302,Comedia 
Havoc,04/01/2023,100,8830,Crimen
"Hawaii, Oslo",10/28/2020,86,5200,Drama
He Died With a Felafel in His Hand,11/11/2020,134,6244,Comedia 
He Ran All the Way,4/28/2019,181,8467,Crimen
He Who Dares,12/07/2019,181,8057,Accion
Head Games,4/24/2019,147,2904,Deporte
Headfirst,03/04/2022,134,362,Comedia 
Headquarters ,01/09/2020,183,5311,Comedia 
Healing,1/26/2023,104,7010,Drama
Heart of Glass ,11/26/2018,100,1320,Drama
Heart of Me,1/17/2022,114,468,Romance
Heart of Stone,10/16/2023,92,1547,Drama
Heartbeat,11/10/2020,67,5619,Romance
